b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
80.3,"April, 2020","Since 2003, they have developed a range of digital and managerial services allowing customers to be more efficient and secure. Initially focused on securing information assets and collaborative work, they have understood over time that the hammer does not hammer nails on its own and that the digital whole is not an end in itself.
Since then, they have taken into account the major technical and societal challenges facing humanity and are looking for solutions that meet their values. Their catalog thus contains a set of IT tools and good managerial practices allowing them to develop ""better working together"" while respecting the planet. There is no other solution today. This is their reason for being evolutionary.","Montigny-Le-Bretonneux, Ile de France, France",OM Conseil,Governance 10.6;Mission & Engagement 2.5;Ethics & Transparency 5.5;+ Mission Locked 2.5;,"Workers 34.0;Financial Security 2.4;Health, Wellness, & Safety 9.0;Career Development 6.8;Engagement & Satisfaction 7.6;N/A Points 8.0;","Community 21.7;Diversity, Equity, & Inclusion 3.4;Economic Impact 7.8;Civic Engagement & Giving 5.6;Supply Chain Management 2.2;N/A Points 2.6;",Environment 9.3;Environmental Management 4.0;Air & Climate 0.9;Water 0.3;Land & Life 4.0;,Customers 4.5;Customer Stewardship 4.5;,,,Service with Minor Environmental Footprint,Secure and ethical IT and managerial solutions.,https://bcorporation.net/directory/om-conseil,http://www.om-conseil.fr
97.7,"April, 2020","The Muskoka Roastery Coffee Co. has been handcrafting Canada's best coffee in Huntsville, Ontario since 2000. As the first coffee roaster in Canada to source green beans exclusively from Rainforest Alliance Certified farms, one of the first brands to launch 100% compostable pods, and a 100% bullfrogpowered company, Muskoka Roastery has a long commitment to sustainable practices. 
The Muskoka Roastery's signature coffees - including Black Bear, Howling Wolf, Loon Call and Muskoka Maple - are each inspired by the Canadian landscape that greeted our founder’s pioneering family in 1862.","Huntsville, Ontario, Canada",Muskoka Roastery Coffee Co.,Governance 15.3;Mission & Engagement 2.1;Ethics & Transparency 3.1;+ Mission Locked 10.0;,"Workers 22.8;Financial Security 9.1;Health, Wellness, & Safety 5.2;Career Development 3.4;Engagement & Satisfaction 3.0;N/A Points 2.0;","Community 19.6;Diversity, Equity, & Inclusion 5.1;Economic Impact 3.7;Civic Engagement & Giving 3.3;Supply Chain Management 4.4;N/A Points 3.1;",Environment 35.1;Environmental Management 5.0;Air & Climate 6.9;Water 1.3;Land & Life 6.3;+ Resource Conservation 3.0;+ Land/wildlife Conservation 11.4;N/A Points 1.1;,Customers 4.6;Customer Stewardship 4.6;,,,Manufacturing,Whole Bean + Ground Coffee 100% Compostable Coffee Pods Cold Brew Coffee,https://bcorporation.net/directory/muskoka-roastery-coffee-co,http://www.muskokaroastery.com
80.6,"April, 2020","Doing Good Works operates a full-service print, promotional merchandise, and packaging company in Irvine, California. They designed their business based on a 10/20/30 model where 10% of profits fund programs for foster youth, 20% of employee hours are encouraged for volunteering in the community, and 30% of employees have been impacted by foster care.","Irvine, California, United States",Doing Good Works,Governance 14.3;Mission & Engagement 1.4;Ethics & Transparency 2.9;+ Mission Locked 10.0;,"Workers 28.7;Financial Security 4.6;Health, Wellness, & Safety 0.4;Career Development 2.2;Engagement & Satisfaction 2.5;+ Workforce Development 18.9;","Community 32.8;Diversity, Equity, & Inclusion 2.9;Economic Impact 6.2;Civic Engagement & Giving 6.5;Supply Chain Management 0.9;+ Designed to Give 13.0;N/A Points 3.1;",Environment 3.4;Environmental Management 1.8;Air & Climate 0.6;Water 0.0;Land & Life 0.9;,Customers 1.1;Customer Stewardship 1.1;,,,Wholesale/Retail,Promotional Products,https://bcorporation.net/directory/doing-good-works,http://www.doinggoodworks.com
93.2,"March, 2020","They’re a London-based design agency that specialises in brand and communications.
Their creative team is made up of designers, copywriters and digital creatives. And their clients are within the tech and purpose sectors — because they believe they’re the industries shaping the future. 
Our purpose is to bring reason and empathy to the world, and these two values unite everything we do.
If you’d like to speak about how we can bring reason and empathy to your next brand or communication challenge, we’re always up for talking through how we can help.","London, Dalston, United Kingdom",Human After All,Governance 17.8;Mission & Engagement 1.5;Ethics & Transparency 6.2;+ Mission Locked 10.0;,"Workers 34.1;Financial Security 11.1;Health, Wellness, & Safety 9.0;Career Development 5.0;Engagement & Satisfaction 7.2;N/A Points 1.6;","Community 17.3;Diversity, Equity, & Inclusion 4.8;Economic Impact 7.6;Civic Engagement & Giving 1.0;Supply Chain Management 1.2;N/A Points 2.4;",Environment 12.3;Environmental Management 4.2;Air & Climate 4.1;Water 0.2;Land & Life 2.7;N/A Points 0.8;,Customers 11.7;Customer Stewardship 3.0;+ Support for Underserved/Purpose Driven Enterprises 2.9;+ Impact Improvement 5.7;,,,Service with Minor Environmental Footprint,"Brand, design, digital, communications",https://bcorporation.net/directory/human-after-all,http://www.humanafterall.co.uk
98.0,"April, 2020","Optimised Energy is a full-service energy consulting business. They deliver energy cost and kilowatt hour savings for their clients through a ‘Managed Energy Services’ approach that combines best-of-breed hardware, software and service.
Their solutions are tailored to key market sectors including Commercial Real Estate, Manufacturing, Public Sector, Renewable Generators, Hospitality and Retail.
Their team of consulting and outsourcing specialists are highly skilled in areas ranging from Energy Procurement to Cost Recovery, Renewables, Invoice Validation, Utility Recharging, Compliance, Sustainability and Energy Efficiency.","Blackpool, North West England, United Kingdom",Optimised Energy,Governance 12.4;Mission & Engagement 4.8;Ethics & Transparency 5.1;+ Mission Locked 2.5;,"Workers 34.1;Financial Security 8.3;Health, Wellness, & Safety 9.7;Career Development 6.3;Engagement & Satisfaction 6.9;N/A Points 2.7;","Community 18.4;Diversity, Equity, & Inclusion 5.3;Economic Impact 7.0;Civic Engagement & Giving 3.1;Supply Chain Management 3.0;",Environment 8.9;Environmental Management 3.5;Air & Climate 0.9;Water 0.0;Land & Life 3.7;N/A Points 0.6;,Customers 24.0;Customer Stewardship 3.6;+ Impact Improvement 20.3;,,,Service with Minor Environmental Footprint,Energy consulting,https://bcorporation.net/directory/optimised-energy,http://optimisedenergy.com
104.9,"April, 2020","Blackbird is a woman-owned and led, independent Employee Benefits Agency in Portland, Oregon – providing the full scope of brokerage services, including Program Strategy, Financial Analysis, HR Tools & Resources, Communications, and Compliance. 
With values rooted in equality, social justice and environmental conservation, Blackbird works with mission-driven businesses that seek more human connection in their benefit programs – ensuring they’re inclusive of all employees, regardless of their race, orientation or gender identity.","Portland, Oregon, United States","Blackbird Benefits Collective, LLC",Governance 12.6;Mission & Engagement 2.2;Ethics & Transparency 0.3;+ Mission Locked 10.0;,"Community 59.5;Diversity, Equity, & Inclusion 15.7;Economic Impact 14.0;Civic Engagement & Giving 14.4;Supply Chain Management 3.0;+ Local Economic Development 7.1;N/A Points 5.1;",Environment 7.0;Environmental Management 2.8;Air & Climate 0.0;Water 0.0;Land & Life 1.0;N/A Points 3.2;,Customers 25.6;Customer Stewardship 3.1;+ Support for Underserved/Purpose Driven Enterprises 14.1;+ Serving in Need Populations 8.3;,,,,Service with Minor Environmental Footprint,"Employee Benefits, Health Insurance, Compliance, Advocacy",https://bcorporation.net/directory/blackbird-benefits-collective-llc,http://www.blackbirdbenefits.org
83.9,"April, 2020","A sustainability agency that researches, develops and implements projects and businesses that positively impact society, the environment and the economy.
Uma agência de sustentabilidade que pesquisa, desenvolve e implementa projetos e negócios que impactam de forma positiva a sociedade, o meio ambiente e a economia.","Rio de Janeiro, Rio de Janeiro, Brazil",Ionica,Governance 18.1;Mission & Engagement 4.2;Ethics & Transparency 3.8;+ Mission Locked 10.0;,"Workers 15.1;Financial Security 0.8;Health, Wellness, & Safety 5.4;Career Development 2.1;Engagement & Satisfaction 3.9;N/A Points 2.8;","Community 26.3;Diversity, Equity, & Inclusion 6.5;Economic Impact 10.8;Civic Engagement & Giving 4.2;Supply Chain Management 2.0;N/A Points 2.6;",Environment 20.7;Environmental Management 1.8;Air & Climate 1.6;Water 0.3;Land & Life 2.4;+ Environmental Education & Information 14.0;N/A Points 0.2;,Customers 3.5;Customer Stewardship 2.4;+ Impact Improvement 1.1;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,"Research, Business and Project Modeling, Strategic Planning and Management.",https://bcorporation.net/directory/ionica,http://ionica.cc
86.2,"April, 2020","Problem Definition

Despite having one of the best conditions for rice growing, the Myanmar rice sector has one of the lowest yields by global standards. This is because the Myanmar rice sector is highly fragmented, made up of smallholder farmers who grow their crops independently of each other and do not achieve economies of scale. This is further perpetuated by poor farming methods and high intermediary costs, trapping whole farming communities in a poverty cycle. 
Value Proposition

Golden Sunland collaborates with Myanmar smallholder farmers as an aggregator, to steward and streamline the value chain, from seed, to harvest, to table. 
Progressive Solution

Their collaboration is an inclusive model that improves yields, lowers costs and is sustainable. This improves the lives of their partner farmers and alleviates poverty within their communities. They extend the farmers’ reach by exporting and distributing the farmers' produce beyond Myanmar borders under “The Little Rice Company” brand.
Golden Sunland - “Growing Rice, Growing Lives”","Singapore, Singapore, Singapore",Golden Sunland Singapore Pte Ltd,Governance 5.4;Mission & Engagement 0.4;Ethics & Transparency 2.5;+ Mission Locked 2.5;,"Workers 14.8;Financial Security 2.1;Health, Wellness, & Safety 3.9;Career Development 2.0;Engagement & Satisfaction 4.1;N/A Points 2.6;","Community 32.2;Diversity, Equity, & Inclusion 0.3;Economic Impact 6.4;Civic Engagement & Giving 2.0;Supply Chain Management 3.4;+ Supply Chain Poverty Alleviation 18.7;N/A Points 1.3;",Environment 31.1;Environmental Management 1.3;Air & Climate 1.3;Water 2.7;Land & Life 4.7;+ Resource Conservation 13.9;+ Toxin Reduction / Remediation 6.4;N/A Points 0.5;,Customers 2.5;Customer Stewardship 2.5;,,,Agriculture/Growers,Low Glycemic Index Brown Rice and other Speciality Rice from Myanmar,https://bcorporation.net/directory/golden-sunland-singapore-pte-ltd,http://www.goldensunland.com
80.2,"April, 2020","ilek is a French supplier of green energy for residential customers and small professionals. ilek stands out in the sector through a certified supply policy with 100% renewable energy producers, a short-circuit energy sales model and a human and individual customer relationship.
ilek est un fournisseur français d'énergie verte à destination des clients résidentiels et des petits professionnels. ilek se distingue dans le secteur à travers une politique d'approvisionnement certifiée auprès de producteurs d'énergie 100% renouvelable, un modèle de vente d'énergie en circuit court et une relation client humaine et individualisée.","Toulouse, occitanie, France",ilek,Governance 6.9;Mission & Engagement 2.2;Ethics & Transparency 2.1;+ Mission Locked 2.5;,"Workers 19.1;Financial Security 2.9;Health, Wellness, & Safety 4.0;Career Development 2.5;Engagement & Satisfaction 5.8;N/A Points 3.6;","Community 17.6;Diversity, Equity, & Inclusion 2.8;Economic Impact 7.6;Civic Engagement & Giving 1.9;Supply Chain Management 1.9;N/A Points 3.2;",Environment 34.0;Environmental Management 0.8;Air & Climate 2.5;Water 0.5;Land & Life 1.1;+ Renewable or Cleaner-burning Energy 22.7;N/A Points 6.2;,Customers 2.5;Customer Stewardship 2.5;,,,Service with Significant Environmental Footprint,ilek is a supplier of green electricity and organic gas 100% made in France,https://bcorporation.net/directory/ilek,http://www.ilek.fr/
92.5,"April, 2020","Summer is the leading resource for borrowers to simplify and save on their student debt. Summer partners with employers, financial institutions, and unions to provide borrowers with access to cutting-edge tools and a dedicated team of student loan advisors to help them find, compare and enroll in loan assistance and forgiveness programs.","New York, New York, United States",Summer,Governance 15.4;Mission & Engagement 3.6;Ethics & Transparency 1.8;+ Mission Locked 10.0;,"Workers 35.6;Financial Security 11.4;Health, Wellness, & Safety 6.2;Career Development 6.5;Engagement & Satisfaction 8.4;N/A Points 2.9;","Community 20.2;Diversity, Equity, & Inclusion 8.1;Economic Impact 7.3;Civic Engagement & Giving 1.1;Supply Chain Management 0.7;N/A Points 2.8;",Environment 3.5;Environmental Management 0.0;Air & Climate 0.9;Water 0.0;Land & Life 2.0;N/A Points 0.5;,Customers 17.6;Customer Stewardship 3.7;+ Impact Improvement 13.9;,,,Service with Minor Environmental Footprint,Advisor and technology tool to manage student debt,https://bcorporation.net/directory/summer,http://www.meetsummer.org/
